이미지,제목,벅스 링크
https://img.youtube.com/vi/3zZe_Ko4bbk/maxresdefault.jpg,[Playlist] 도입부가 요즘 날씨야... 너무 좋아...🤎 | 인트로부터 사로잡히는 그루브팝 | autumn groove pop 🤎,http://bugs.kr/!yt53988
https://img.youtube.com/vi/d9EdCgS1X_c/maxresdefault.jpg,[Playlist] 아침을 깨우는 산뜻한 봄날의 Lo-FiㅣLo-Fi on a fresh spring day,http://bugs.kr/!yt0101
https://img.youtube.com/vi/Mc0-EzZAd2I/maxresdefault.jpg,"[Playlist] 수영 못하면 돌아가주시죠,, 듣는 순간 빠져들테니깐!ㅣ스타일리쉬한 느낌의 매력만점 일렉팝 ㅣstylish electro pop songs",http://bugs.kr/!yt0044
https://img.youtube.com/vi/yYlw5prC-D0/maxresdefault.jpg,[Playlist] 파리 Cafe에 흐르는 봄날의 집시재즈ㅣgypsy jazz in french cafe,http://bugs.kr/!yt0203
https://img.youtube.com/vi/SkH7ZZPPYQs/maxresdefault.jpg,"[Playlist] 울적한 하루, 산뜻한 팝송으로 시작해요ㅣThis Playlist gonna make you feel better",http://bugs.kr/!yt0166
https://img.youtube.com/vi/OEZc_c7A7Ko/maxresdefault.jpg,"[Playlist] 아, 이 노래들은 진짜 알려주기 아까운데ㅣOh, I really don't want to tell you these songs",http://bugs.kr/!yt0111
https://img.youtube.com/vi/dYiT3Uebkn4/maxresdefault.jpg,[Playlist] 역시 믿듣탱💜 | 태연 노래 모음 | TAEYEON essential;,http://bugs.kr/!yt27641
https://img.youtube.com/vi/TfSqGfVqooc/maxresdefault.jpg,[Playlist] 해방촌 바이닐펍 바이브 🍻ㅣ레트로 + 트렌디 = 21세기 뉴 잭 스윙!ㅣtrendy retro music in vinyl pub,http://bugs.kr/!yt0218
https://img.youtube.com/vi/jakKbiX2L-Q/maxresdefault.jpg,"[Playlist] 봄볕이 드는 창가에 앉아 🕊 | 나른한 주말, 커피 한 잔과 함께하는 휴식 | cozy pop with coffee 🕊",http://bugs.kr/!yt57144
https://img.youtube.com/vi/Dj-de9sLNB0/maxresdefault.jpg,[Playlist] 슬슬 봄이 올 때가 됐는데? 🎈 | 달짝지근 기분 좋아지는 Daily Pop 16 | sweet spring pop 🎈,http://bugs.kr/!yt54069
https://img.youtube.com/vi/mrPw3D9Vjf0/maxresdefault.jpg,"[Playlist] 초록이 짙어지는 계절, 너와 함께 | 산뜻하고 부드러운 일상 BGM with Crush | afternoon cafe vibe",http://bugs.kr/!yt65233
https://img.youtube.com/vi/fJnOuwUqXDQ/maxresdefault.jpg,"[Playlist] 다시 새벽, 나른한 그 분위기에 취해 🍷ㅣLate night chillin 🍷",http://bugs.kr/!yt0167
https://img.youtube.com/vi/HR6RZmhxcUw/maxresdefault.jpg,"[Playlist] 토닥토닥, 달빛 아래 열대야 🌉ㅣ불면의 밤을 다독이는 COZY POP #4 ㅣCozy Pop for a Sleepless Night",http://bugs.kr/!yt0130
https://img.youtube.com/vi/8DRgFBd2_8E/maxresdefault.jpg,"[Playlist] 시간은 오후 3시 온도는 20도ㅣ20℃, 3 p.m.",http://bugs.kr/!yt0118
https://img.youtube.com/vi/YGX-Y4XngXc/maxresdefault.jpg,[Playlist] 소파와 한 몸이 되고 싶은 날 | 편안하게 듣기 좋은 일상 BGM | cozy day at home 🌿,http://bugs.kr/!yt57613
https://img.youtube.com/vi/-lXxbJTsxVQ/maxresdefault.jpg,[Playlist] 손끝으로 느껴지는 나른한 오후 | afternoon cozy pop,http://bugs.kr/!yt56551
https://img.youtube.com/vi/Tc0Z6A7xl7Y/maxresdefault.jpg,[Playlist] 하루를 끝내고 따뜻한 욕조 속으로ㅣ따스하고 그루브한 멜로우 R&B 플레이리스트ㅣmellow music for a smooth bath time,http://bugs.kr/!yt0032
https://img.youtube.com/vi/itXDhRsf9WA/maxresdefault.jpg,[Playlist] 오늘은 그냥 뒹굴거리면 안될까ㅣ🎨그림 그릴 때 듣는 음악 05ㅣBest songs to listen to while painting🎨,http://bugs.kr/!yt0185
https://img.youtube.com/vi/mI6ZOCbCOUE/maxresdefault.jpg,[Playlist] 듣자마자 66번국도에서 드라이브!ㅣDriving Route 66,http://bugs.kr/!yt0131
https://img.youtube.com/vi/yVqXMvohWek/maxresdefault.jpg,[Playlist] 얼어 죽어도 트로피컬!ㅣ시원하고 상큼한 이냉치냉 플레이리스트ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0055
https://img.youtube.com/vi/VNY8RU3YFjM/maxresdefault.jpg,[Playlist] 추운 겨울을 포근하게 🌨 | 겨울에 듣기 좋은 남성 발라드 | winter korean ballad,http://bugs.kr/!yt61234
https://img.youtube.com/vi/4BMZRqlCzZs/maxresdefault.jpg,[Playlist] 나의 PLAYLIST는 새벽 2시부터ㅣAM 2:00 Mood,http://bugs.kr/!yt0153
https://img.youtube.com/vi/iGQdfTXi-Ug/maxresdefault.jpg,[Playlist] 도넛 사러 갔다가 노래에 치임...ㅣ도넛샵에서 흘러나오는 키치한 멜로디ㅣdoughnut shop playlist 🍩,http://bugs.kr/!yt0262
https://img.youtube.com/vi/qaypqpYPJvk/maxresdefault.jpg,"[Playlist] 적막한 밤 빗소리와 함께ㅣ비 오는 날, 감성에 젖고 싶다면ㅣrainy day with relaxing jazz music 🛋️",http://bugs.kr/!yt0234
https://img.youtube.com/vi/WSZOckFU8U8/maxresdefault.jpg,[Playlist] 호캉스 갈 때 무조건 챙겨야하는 팝송추천ㅣ경쾌하고 세련된 팝송 모음,http://bugs.kr/!yt0013
https://img.youtube.com/vi/_haKaOd1_zg/maxresdefault.jpg,"[Playlist] 로파이, 커피 한 잔의 여유 ☕ㅣcoffee & cigarette, chillax bgm",http://bugs.kr/!yt0216
https://img.youtube.com/vi/eaqVX9IMACQ/maxresdefault.jpg,[Playlist] 오늘은 왠지 예감이 좋아 🧃ㅣ기분 UP! 하루를 열어주는 Daily Popㅣhappy day good morning 🧃,http://bugs.kr/!yt50140
https://img.youtube.com/vi/1wJRs2icW0A/maxresdefault.jpg,"[Playlist] 힙합 너무 좋구요, 미치겠어요ㅣ나도 모르게 비트타는 힙한 외힙 😎ㅣtrendy hip hop of 2021",http://bugs.kr/!0221
https://img.youtube.com/vi/y4H2kOvTdE4/maxresdefault.jpg,"[Playlist] UNKNOWN, 나만 알고 싶은 Track vol.5ㅣTrendy songs You've Never Heard",http://bugs.kr/!yt0150
https://img.youtube.com/vi/GBVEHPh_HRs/maxresdefault.jpg,[Playlist] 감각적 봄맞이! 러블리와 센슈얼 그 사이ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0084
https://img.youtube.com/vi/m6sDakyUClY/maxresdefault.jpg,[Playlist] 오늘도 아른거리는 그대ㅣ갬성 빈티지 플레이리스트ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0054
https://img.youtube.com/vi/obkZl2mYnpI/maxresdefault.jpg,[Playlist] 가을에 들을 수 있는 몽글몽글 Playlist #3 l Playlist for Autumn,http://bugs.kr/!yt0172
https://img.youtube.com/vi/AwGaZ92r0Js/maxresdefault.jpg,[Playlist] 방구석 클럽 개장 🔥ㅣ절제된 세련미! 내적댄스 폭발하는 테크하우스ㅣBest Tech House Mix 💃🕺,http://bugs.kr/!yt0194
https://img.youtube.com/vi/3owcmKI642c/maxresdefault.jpg,"[Playlist] 무기력한 아침, 리듬 타며 여름나기 🌿ㅣHow to Wake Up Without Feeling Sluggish 🌿",http://bugs.kr/!yt0148
https://img.youtube.com/vi/fodbvMnx0xw/maxresdefault.jpg,[Playlist] 너와 나란히 걷다가 열대야를 잊곤 했지ㅣForget the tropical nights,http://bugs.kr/!yt0164
https://img.youtube.com/vi/HjhXBdO9tgI/maxresdefault.jpg,[Playlist] 은은하게 불어오는 꽃내음 🌼ㅣ분위기에 취하고 음색에 치이는 카페 음악ㅣgood afternoon cafe music 🌼,http://bugs.kr/!yt53216
https://img.youtube.com/vi/AAfmtUcyzhU/maxresdefault.jpg,[Playlist] 그루브에 힙 투샷 추가 | 감각적인 공간을 채우는 그루브 BGM | hip and groovy vibes,http://bugs.kr/!yt57036
https://img.youtube.com/vi/ygtlUylfoy8/maxresdefault.jpg,[Playlist] 지루해? 자극적이지 않은 달짝지근 데일리 팝!ㅣ달짝지근 기분 좋아지는 Daily Pop 2ㅣSongs for a Sweet and Pleasant Day,http://bugs.kr/!yt0075
https://img.youtube.com/vi/HEXFE2ORD5E/maxresdefault.jpg,[Playlist] 토요일 밤의 재즈 🥂ㅣ찐 로우파이! Old Jazz DivasㅣRomantic Old Jazz,http://bugs.kr/!yt0119
https://img.youtube.com/vi/W-3QNbQF13g/maxresdefault.jpg,[Playlist] VIVID#2 A Certain Romanceㅣ선명하게 기억될 지금 이 순간,http://bugs.kr/!yt0133
https://img.youtube.com/vi/uaWSwV61jkU/maxresdefault.jpg,[Playlist] 산책하며 듣는 감각적인 분위기에 POPㅣSongs With a Sensuous Atmosphere,http://bugs.kr/!yt0170
https://img.youtube.com/vi/_QYoFw7rii8/maxresdefault.jpg,[Playlist] 얼어붙은 밤을 뜨겁게 달궈줄ㅣSexy & Groovy 침대송 플레이리스트ㅣsensual songs for lovers 💕,http://bugs.kr/!yt0206
https://img.youtube.com/vi/Ks4LTtgx7WE/maxresdefault.jpg,[Playlist] 어쩌다 노을이 좋은 날ㅣ블루투스 스피커로 가볍게 듣기 좋은 POP 3ㅣsomewhere beyond the sunset🧡,http://bugs.kr/!yt0214
https://img.youtube.com/vi/TNkM5_nf01U/maxresdefault.jpg,"[Playlist] 주말 오후, 광합성하기 좋은 온실 카페에서 🌿ㅣ따뜻했던 무수한 날들에 대한 단상ㅣafternoon chilling tape 📼",http://bugs.kr/!yt0200
https://img.youtube.com/vi/_xYRgpByc0c/maxresdefault.jpg,[Playlist] 꿀이 뚝~뚝~ㅣ고막을 녹이는 달달한 팝 플레이리스트ㅣsweet spring honey pop 🍯,http://bugs.kr/!yt0222
https://img.youtube.com/vi/gkIxUlJ8bvs/maxresdefault.jpg,"[Playlist] 겨울과 봄 사이, 가볍게 듣기 좋은 달달포근 팝!ㅣBest Popular Songs Of 2020",http://bugs.kr/!yt0076
https://img.youtube.com/vi/nZSz5opkSIo/maxresdefault.jpg,[Playlist] 뭔가 새로운 크리스마스 노래 없어?ㅣ20/21 시즌 크리스마스 팝 신곡 콜렉션ㅣ20/21 brand new christmas pop ✨,http://bugs.kr/!yt0266
https://img.youtube.com/vi/isTo5kISXMg/maxresdefault.jpg,"[Playlist] 여름 밤, 힙하고 딥하게 | summer night chill r&b",http://bugs.kr/!yt57649
https://img.youtube.com/vi/XpP5P1FFkSs/maxresdefault.jpg,[Playlist] 펑키한 그루브 + 레트로 감성 두 스푼 = 바로 이 느낌!ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0070
https://img.youtube.com/vi/WR-4E2r5rh4/maxresdefault.jpg,"[Playlist] 보랏빛 하늘 아래서, Sunset Driveㅣ가을 바람을 닮은 선선한 팝송 모음",http://bugs.kr/!yt0014
https://img.youtube.com/vi/zZ0npMhatV8/maxresdefault.jpg,"[Playlist] 1990, MTV, 하이틴, 스케이트 보드ㅣ엉망진창 되고픈 신나는 팝-펑크!ㅣDo you miss being a Teenager?",http://bugs.kr/!yt0074
https://img.youtube.com/vi/aZao_uWiFrA/maxresdefault.jpg,[Playlist] 😈 홍대 지하에서 들려오는 Hip groovy pop 😈ㅣHip groovy pop from Hongdae Basement,http://bugs.kr/!yt0110
https://img.youtube.com/vi/0p4GD7KecyI/maxresdefault.jpg,[Playlist] 분위기에 취할 세련된 도시감성ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0090
https://img.youtube.com/vi/MJqadSvaPyE/maxresdefault.jpg,[Playlist] 고막부터 심장까지 찌릿해지는 감성의 폭죽놀이ㅣ따뜻하게 귀를 녹여줄 사운드클라우드 플레이리스트ㅣsweet mellow pop for the warm nights,http://bugs.kr/!yt0022
https://img.youtube.com/vi/PgdQoS_n41I/maxresdefault.jpg,[Playlist] 누가 달달한 게 몸에 안 좋다 그래? | sweet love songs,http://bugs.kr/!yt57889
https://img.youtube.com/vi/NQC_IqQT1SE/maxresdefault.jpg,[Playlist] 옥상이 피크닉 장소가 되는 산뜻 playlistㅣrooftop picnic vibe,http://bugs.kr/!yt0113
https://img.youtube.com/vi/qwB_fMR4KD0/maxresdefault.jpg,[Playlist] 차가워진 밤공기에 어울리는 Deep Groove🌒ㅣDeep & groovy vibes on a cold night🌒,http://bugs.kr/!yt0192
https://img.youtube.com/vi/PhDnObiRHMY/maxresdefault.jpg,[Playlist] 쿨한 분위기에 취하는 여름밤 | 나만의 공간에서 듣는 감각적인 사운드 with 언다이드룸 | summer night chill mix,http://bugs.kr/!UNDYEDROOMPAGE
https://img.youtube.com/vi/37Mmd4rUwGk/maxresdefault.jpg,[Playlist] 돗자리 펴고 뒹굴거리기 🌻ㅣ나도 모르게 두둠칫 하는 기분전환 데일리 팝ㅣsunny afternoon daily pop 🌻,http://bugs.kr/!yt52780
https://img.youtube.com/vi/lmrqqOcehNo/maxresdefault.jpg,"[Playlist] 나른하고 편안한 분위기, Seriously ChillㅣTime to chill out with electronic beats",http://bugs.kr/!yt0159
https://img.youtube.com/vi/G8-asmfNEfg/maxresdefault.jpg,[Playlist] 따사로운 어느 봄날ㅣ푸릇푸릇 싱그러운 바질향이 느껴지는ㅣspring basil aromatic pop 🌿,http://bugs.kr/!yt52704
https://img.youtube.com/vi/j-WzsS4xLQk/maxresdefault.jpg,[Playlist] S2 Love Preaching Passionfruit S2 💕ㅣ어느 여름날의 세레나데 💕,http://bugs.kr/!yt0144
https://img.youtube.com/vi/UoB_VNIctcc/maxresdefault.jpg,[Playlist] 사운드클라우드 힙한 감성 플레이리스트,http://bugs.kr/!yt0002
https://img.youtube.com/vi/FX6mNUZbSSE/maxresdefault.jpg,"[Playlist] 산뜻한 오후 2시, 카페 혹은 공원에서ㅣFresh Afternoon, at a Cafe or a Park",http://bugs.kr/!yt0097
https://img.youtube.com/vi/FQpHzD06CzA/maxresdefault.jpg,"[Playlist] 보랏빛 하늘 아래서, Sunset Drive Vol 2ㅣPurple Sky, Sunset Drive Vol 2",http://bugs.kr/!yt0168
https://img.youtube.com/vi/8JZ5Z10Tj2U/maxresdefault.jpg,"[Playlist] 다시 가을, 차가워진 바람을 맞으며 | 기분좋은 센치함이 가득한 알앤비 | autumn groovy r&b",http://bugs.kr/!yt54881
https://img.youtube.com/vi/jqMfCp0brhQ/maxresdefault.jpg,"[Playlist] 비 내리던 브루클린에서의 그날, 기억하지?ㅣon a rainy day in brooklyn ☂️",http://bugs.kr/!yt0251
https://img.youtube.com/vi/4pv-726Zi20/maxresdefault.jpg,[Playlist] 무드 있는 홈파티를 원한다면ㅣ소중한 사람과 보내는 분위기 가득한 연말 플레이리스트ㅣthe end of the year with you,http://bugs.kr/!yt0045
https://img.youtube.com/vi/HmM-sN7HadA/maxresdefault.jpg,[Playlist] 포근한 나만의 크리스마스 | 핫초코 마시며 듣는 따스한 무드의 캐롤 팝 | waiting for white christmas🤍,http://bugs.kr/!yt43921
https://img.youtube.com/vi/L3fjdmDxnjQ/maxresdefault.jpg,"[Playlist] 이 노래 삽입하면 광고 대박날 듯...ㅣ15초의 최면, 내가 만약 광고음악 감독이라면?ㅣBest Music for Ads 💲💲",http://bugs.kr/!yt0215
https://img.youtube.com/vi/Q4cGsnIl0sQ/maxresdefault.jpg,[Playlist] 비가 내려도 마음은 뽀송하게 ☁️ | 은은하게 기분이 좋아지는 데일리팝 | happy morning pop songs ☁️,http://bugs.kr/!yt53903
https://img.youtube.com/vi/Esrv9u9BIgY/maxresdefault.jpg,"[Playlist] 이쯤에서 중간 결산 가보자고ㅣ2022 상반기 결산 특집, 놓쳐선 안될 팝 50ㅣ50 best pop songs in first half of 2022",http://bugs.kr/!yt53715
https://img.youtube.com/vi/_mr8usEanDs/maxresdefault.jpg,[Playlist] 아프로 폼 미쳤다 | 중독성 강한 아프로비트 플레이리스트 | afrobeat vibes,http://bugs.kr/!yt55673
https://img.youtube.com/vi/Z1tAwwrhLAA/maxresdefault.jpg,[Playlist] 고개가 까딱~ 까딱~ 나도 모르게 건방져지는 신나는 팝송ㅣ기분이 좋아지는 경쾌한 플레이리스트ㅣhello today! rhythmical daily pop,http://bugs.kr/!yt0021
https://img.youtube.com/vi/oP5XYiA5efk/maxresdefault.jpg,[Playlist] 산타할아버지 올해도 전 착하게 살았어요🎅 | 2023 크리스마스 팝송 | new christmas pop songs 2023,http://bugs.kr/!yt60670
https://img.youtube.com/vi/2X8lDicOC6U/maxresdefault.jpg,"[Playlist] 조용한 바닷가 캠핑장에서ㅣ불멍이 필요한 시간, 나홀로 힐링 뮤직ㅣSentimental Campfire Songs",http://bugs.kr/!yt0183
https://img.youtube.com/vi/iHDSV-dHWQ4/maxresdefault.jpg,[Playlist] 가볍게 캔맥 하나 따고 싶은 밤 🍺ㅣCatch a Vibe! 술이 달게 느껴지는 BGMㅣCan you get me a beer please?,http://bugs.kr/!yt0198
https://img.youtube.com/vi/49B9cpKqtMA/maxresdefault.jpg,[Playlist] 월요일 안녕?ㅣ축 처지는 기분을 바꿔줄 Refresh Popㅣfresh up daily pop 🍀,http://bugs.kr/!yt0254
https://img.youtube.com/vi/46-vh5LIoDM/maxresdefault.jpg,[Playlist] 이건 초여름 아침 바이브 🍃ㅣ시원한 하루를 만들어 줄 썸머 데일리팝ㅣhappy summer day pop 🍃,http://bugs.kr/!yt0237
https://img.youtube.com/vi/64VMRxkl7OU/maxresdefault.jpg,[Playlist] 여름을 준비하는 자세! 트로피컬 사운드 TOP 100 🏄🏾ㅣReady to Summer! Tropical TOP 100 🏄🏾,http://bugs.kr/!yt0137
https://img.youtube.com/vi/8r7JiZRHSfs/maxresdefault.jpg,"[Playlist] 크리스마스 가족영화 한 편 본 것만 같은 느낌 🎁ㅣ색다른 감동, 크리스마스 클래식 스페셜ㅣBest Classical Christmas Music 🎄",http://bugs.kr/!yt0187
https://img.youtube.com/vi/3f02sGMwh9M/maxresdefault.jpg,"[Playlist] 선선한 밤에 듣는 로맨틱 올드 소울 💙ㅣ 부드럽게 영혼을 울리는 소울, Smooth SoulㅣSmooth Soul Essentials",http://bugs.kr/!yt0140
https://img.youtube.com/vi/6QPRWCSBRsQ/maxresdefault.jpg,[Playlist] 이 노래를 듣는 순간! 그루브 타게될껄?ㅣHear this song! You're gonna groove,http://bugs.kr/!yt0108
https://img.youtube.com/vi/gJST2Yu-Kho/maxresdefault.jpg,[Playlist] 상큼 발랄한 레몬 같은 팝!ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0078
https://img.youtube.com/vi/jhzXowkUwxU/maxresdefault.jpg,[Playlist] 철수 너 언제까지 에미넴만 들을래! 일로와서 같이 듣자ㅣ평범한 방을 이태원 펍으로 바꿔줄 트렌디 힙합 플레이리스트ㅣbest trendy hiphop,http://bugs.kr/!yt0035
https://img.youtube.com/vi/mZfRkXlAF34/maxresdefault.jpg,[Playlist] 기분도 광합성이 필요해 | 봄과 초여름 사이! 기분전환 데일리 팝 | early summer daily pop ☀️,http://bugs.kr/!yt56796
https://img.youtube.com/vi/KLkbq5bGDrY/maxresdefault.jpg,[Playlist] 벌써 봄이 온 것처럼 들뜨잖아 | spring daily pop 🌼,http://bugs.kr/!yt63630
https://img.youtube.com/vi/0UKwpJUUDlM/maxresdefault.jpg,[Playlist] 당신을 인싸로 만들어 줄 감각적인 가을 팝송,http://bugs.kr/!yt0016
https://img.youtube.com/vi/ZjknKXiFuIQ/maxresdefault.jpg,[Playlist] 여름비 속 이어폰을 책임질 감성 팝송 모음,http://bugs.kr/!yt0007
https://img.youtube.com/vi/mvvO5f1oydM/maxresdefault.jpg,[Playlist] 고당고당고당♬ㅣ가볍게 듣기좋은 트렌디 팝ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0056
https://img.youtube.com/vi/fq6qxhNK36c/maxresdefault.jpg,[Playlist] 미국 틴에이저 감성의 신나는 팝송 모음ㅣ트렌디하고 신나는 팝송 모음ㅣteenage vibe! trendy pop,http://bugs.kr/!yt0019
https://img.youtube.com/vi/6QcTHBJv_pE/maxresdefault.jpg,[Playlist] 어서와! 우리만의 여름 캠프 🍉ㅣ휴가갈 때 꼭 챙겨야 할 Summer Popsㅣcolorful summer vacation 🍉,http://bugs.kr/!yt0246
https://img.youtube.com/vi/FjVhjLG2pkU/maxresdefault.jpg,[Playlist] 분위기 무엇...? 센치한 감성의 가을 팝송ㅣ사운드 클라우드 감성 가을 카페 팝송,http://bugs.kr/!yt0017
https://img.youtube.com/vi/PHo4vhc3z8Q/maxresdefault.jpg,[Playlist] 마음이 추워질 때 즈음 | 늦가을에 듣기 좋은 여성 보컬 발라드 | korean ballad songs,http://bugs.kr/!yt60456
https://img.youtube.com/vi/JApXlFgOM_U/maxresdefault.jpg,[Playlist] 테이프 감성의 빈티지 드라이브 | vintage mood drive music,http://bugs.kr/!yt57961
https://img.youtube.com/vi/2T_T1oG0Dz8/maxresdefault.jpg,[Playlist] 설레이는 여름! 상큼하고 감각적인 팝송 모음,http://bugs.kr/!yt0006
https://img.youtube.com/vi/ubW3SmHScgs/maxresdefault.jpg,"[Playlist] 회색 하늘에 나른해지는 melody, night 2ㅣgrey sky, languid melody",http://bugs.kr/!yt0149
https://img.youtube.com/vi/N3PvPwAavoE/maxresdefault.jpg,[Playlist] 무더위야 잘가🌴 싱그럽고 상큼한 여름 팝송 추천!,http://bugs.kr/!yt0008
https://img.youtube.com/vi/l-k2k2XQ8Ek/maxresdefault.jpg,[Playlist] 언제나 HIP HOP Dayㅣ카페 감성의 그루브 힙합ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0058
https://img.youtube.com/vi/oDisFKQ27yI/maxresdefault.jpg,[Playlist] Hip하고 Chill한 분위기를 만들어줄 ListㅣHip & Chill,http://bugs.kr/!yt0127
https://img.youtube.com/vi/y5pqNsGlEio/maxresdefault.jpg,[Playlist] 감성이 터지는 trendy 외국힙합 l Emotional & Trending Hip Hop Songs,http://bugs.kr/!yt0175
https://img.youtube.com/vi/Uqbzf4eZK-Y/maxresdefault.jpg,[Playlist] 불이 꺼진 밤 비행기 안에서ㅣBest Popular Songs Of 2020,http://bugs.kr/!yt0003
https://img.youtube.com/vi/6cpbQIVr68U/maxresdefault.jpg,[Playlist] 여름밤 너의 창가로 띄워 보내는 노래ㅣNostalgic Summer Night,http://bugs.kr/!yt0157
https://img.youtube.com/vi/RhvWMNLWEK0/maxresdefault.jpg,[Playlist] 아이유 참 좋다 | 아이유 노래 모음 | IU essential;,http://bugs.kr/!yt64513
https://img.youtube.com/vi/Ngb-EedcipI/maxresdefault.jpg,[Playlist] 유난히 나른한 겨울 | cozy winter day music,http://bugs.kr/!yt61805
https://img.youtube.com/vi/bnogNXRFKOs/maxresdefault.jpg,[Playlist] 🤘 함께 즐겨요! 랜선 락페 🤘ㅣOnline Rock Festival,http://bugs.kr/!yt0152
